name,administrative_unit,last_update,county,status_notes,location,date_started
Oak FireåÊ,CAL FIRE Shasta-Trinity UnitåÊ,"January 9, 2018 11:16 amåÊ",Shasta CountyåÊ,128 acres - 100% containedåÊ,"off Oak Run Rd and Pierce Hollow Rd, east of ReddingåÊ","July 1, 2017 12:48 amåÊ"
Tarina Fire åÊ,Kern County FireåÊ,"January 9, 2018 11:16 amåÊ",Kern CountyåÊ,"1,200 acres - 100% containedåÊ","Breckenridge Road, 3 miles east of BakersfieldåÊ","June 30, 2017 1:49 pmåÊ"
Lockwood FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"January 9, 2018 11:11 amåÊ",Monterey CountyåÊ,42 acres - 100% containedåÊ,off San Lucas Rd and Martinez RdåÊ,"June 29, 2017 8:44 pmåÊ"
Stokes FireåÊ,Los Angeles County Fire DepartmentåÊ,"January 9, 2018 11:11 amåÊ",Los Angeles CountyåÊ,41 acres - 100% containedåÊ,Stokes Rd. and Mulholland Dr in Calabasas åÊ,"June 29, 2017 3:45 pmåÊ"
Topanga FireåÊ,Los Angeles County Fire DepartmentåÊ,"January 9, 2018 11:11 amåÊ",Los Angeles CountyåÊ,55 acres - 100% contained ***This is NOT a CAL FIRE incident. Click the link above for more information. åÊ,Off Topanga Canyon & Pacific Coast Hwy in MalibuåÊ,"June 29, 2017 3:09 pmåÊ"
Ranch FireåÊ,CAL FIRE Santa Clara UnitåÊ,"January 9, 2018 11:11 amåÊ",Santa Clara CountyåÊ,3 fires totaling 85 acres - 100% containedåÊ,"Off Grant Road, Mt. Hamilton, east of San JoseåÊ","June 29, 2017 1:56 pmåÊ"
 Cristianitos FireåÊ,Camp Pendleton Marine Corps BaseåÊ,"January 9, 2018 11:10 amåÊ",San Diego CountyåÊ,***This is not a CAL FIRE incident. Click the link above for more information from Camp Pendleton Marine Corps Base.åÊ,off Cristianitos Rd. and Talega Rd.åÊ,"June 28, 2017 5:56 pmåÊ"
Ben Fire ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"January 9, 2018 11:10 amåÊ",Mariposa CountyåÊ,åÊ,off Ben Hur Road and Silver Bar RoadåÊ,"June 28, 2017 3:49 pmåÊ"
Battle FireåÊ,Modoc National ForeståÊ,"January 9, 2018 11:10 amåÊ",Modoc CountyåÊ,562 acres - 100% contained ***This is not a CAL FIRE incident. Click the link above for more information. åÊ,"Hwy 139 south of Newell, east of Tule LakeåÊ","June 28, 2017 1:50 pmåÊ"
Alvarado FireåÊ,CAL FIRE San Benito-MontereyåÊ,"January 9, 2018 11:10 amåÊ",Monterey CountyåÊ,15 acres - 100% containedåÊ,Alvarado Rd and Wunpost in the community of BradleyåÊ,"June 28, 2017 9:30 amåÊ"
Mart FireåÊ,USFS - San Bernardino National Forest åÊ,"January 9, 2018 11:09 amåÊ",San Bernardino CountyåÊ,670 acres - 100% contained ***This is not a CAL FIRE incident. Click the link above for more information. åÊ,"Highland Ave and City Creek Road, HighlandåÊ","June 27, 2017 3:22 pmåÊ"
Pine FireåÊ,Marin County Fire DepartmentåÊ,"January 9, 2018 11:09 amåÊ",Marin CountyåÊ,38 acres - 100% containedåÊ,"off San Geronimo Ridge Road and Pine Mountain Fire Road, south of Woodacre åÊ","June 27, 2017 10:39 amåÊ"
Sloane FireåÊ,CAL FIRE San Diego UnitåÊ,"January 9, 2018 11:09 amåÊ",San Diego CountyåÊ,25 acres - 100% containedåÊ,"off Sloane Canyon Road at Dehesa Road, east of El CajonåÊ","June 27, 2017 9:38 amåÊ"
Latrobe FireåÊ,CAL FIRE Amador-El Dorado UnitåÊ,"January 9, 2018 11:09 amåÊ",Sacramento CountyåÊ,35 acres - 100% containedåÊ,"off Hwy 16 & Latrobe Rd, east of White Rock (Sacramento County)åÊ","June 27, 2017 7:39 amåÊ"
Shore FireåÊ,CAL FIRE Humboldt-Del Norte UnitåÊ,"January 9, 2018 11:08 amåÊ",Del Norte CountyåÊ,28 acres - 100% containedåÊ,"in Tolowa Dunes State Park, 3 miles west of Smith River (Del Norte County)åÊ","June 26, 2017 9:30 pmåÊ"
Hill Fire ,CAL FIRE San Luis Obispo UnitåÊ,"January 9, 2018 11:08 amåÊ",San Luis Obispo CountyåÊ,åÊ,"Park Hill Road and La Entrada, east of Santa MargaritaåÊ","June 26, 2017 3:27 pmåÊ"
Manzanita FireåÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 11:08 amåÊ",Riverside CountyåÊ,"6,309 acres - 100% contained åÊ","Hwy 79 North, Lambs Canyon south of Dump Road, south of BeaumontåÊ","June 26, 2017 3:10 pmåÊ"
King Fire ,CAL FIRE Siskiyou UnitåÊ,"January 9, 2018 11:08 amåÊ",Siskiyou CountyåÊ,åÊ,off Campus Dr. and Moonlit Oaks Ave. in Yreka åÊ,"June 26, 2017 12:30 pmåÊ"
Salmon-August Complex åÊ,CAL FIRE Siskiyou Unit / Klamath National ForeståÊ,"January 9, 2018 11:07 amåÊ",Siskiyou CountyåÊ,*** This is not a CAL FIRE incident. Click the link for more information. åÊ,"14 miles west of Etna, California in the Marble Mountain WildernessåÊ","June 25, 2017 5:00 pmåÊ"
Placerita FireåÊ,LA County Fire DepartmentåÊ,"January 9, 2018 11:08 amåÊ",Los Angeles CountyåÊ,760 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information.åÊ,"Off Hwy 14 & Placerita Canyon Rd, in Santa ClaritaåÊ","June 25, 2017 12:47 pmåÊ"
Black FireåÊ,CAL FIRE San Diego Unit / Cleveland National ForeståÊ,"January 9, 2018 11:07 amåÊ",San Diego CountyåÊ,36 acres - 100% containedåÊ,"Off Black Canyon Rd & Mesa Grande Rd, RamonaåÊ","June 25, 2017 12:09 pmåÊ"
Schaeffer FireåÊ,Sequoia National ForeståÊ,"January 9, 2018 11:01 amåÊ",Tulare CountyåÊ,"16,031 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information.åÊ",Within the 2002 McNally wildfire burn area (17 miles north of Kernville)åÊ,"June 24, 2017 4:16 pmåÊ"
Paskenta FireåÊ,CAL FIRE Tehama-Glenn UnitåÊ,"January 9, 2018 11:07 amåÊ",Tehama CountyåÊ,42 acres - 100% containedåÊ,"Off Paskenta Rd, west of Red BluffåÊ","June 24, 2017 11:15 amåÊ"
King IncidentåÊ,Tulare CountyåÊ,"January 9, 2018 11:01 amåÊ",Tulare CountyåÊ,*** This is not a CAL FIRE incident - Click the link above for more information. åÊ,"Hwy 201 & Rd 36, Community of Kings RiveråÊ","June 23, 2017 10:32 pmåÊ"
Creek FireåÊ,CAL FIRE / Fresno County FireåÊ,"January 9, 2018 11:01 amåÊ",Fresno CountyåÊ,357 acres - 100% containedåÊ,"Off Los Gatos Creek Rd, west of DerrickåÊ","June 23, 2017 4:00 pmåÊ"
Toll FireåÊ,Vallejo City Fire DepartmentåÊ,"January 9, 2018 11:01 amåÊ",Solano CountyåÊ,39 acres - 100% contained. *** This is not a CAL FIRE incident. Please click the link above for more information.åÊ,"off of I-80 and Sonoma Blvd,  VallejoåÊ","June 22, 2017 1:08 pmåÊ"
Lone FireåÊ,CAL FIRE / Butte County FireåÊ,"January 9, 2018 11:01 amåÊ",Butte CountyåÊ,111 acres - 100% containedåÊ,"Lone Tree Rd & Cox Ln, south of OrovilleåÊ","June 22, 2017 11:10 amåÊ"
Highway FireåÊ,CAL FIRE/Butte County FireåÊ,"January 9, 2018 11:00 amåÊ",Butte CountyåÊ,21 acres - 100% containedåÊ,"off of Hwy 99 & Schlaf Dr, east of Lake Oroville åÊ","June 22, 2017 9:49 amåÊ"
Quimby FireåÊ,CAL FIRE Santa Clara UnitåÊ,"January 9, 2018 11:00 amåÊ",Santa Clara CountyåÊ,54 acres - 100% contained.åÊ,"Off Quimby Rd, west of Grant Ranch Park, East San JoseåÊ","June 21, 2017 6:02 pmåÊ"
Orange FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"January 9, 2018 10:59 amåÊ",Stanislaus CountyåÊ,65 acres - 100% containedåÊ,"Off Sonora Rd & Orange Blossom Rd, east of OakdaleåÊ","June 21, 2017 2:45 pmåÊ"
Evans FireåÊ,USFS - Humboldt-Toiyabe National ForeståÊ,"January 9, 2018 11:00 amåÊ",Sierra CountyåÊ,168 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information.åÊ,"Off Highway 395 & Scott Rd, east of LoyaltonåÊ","June 19, 2017 9:41 pmåÊ"
Holcomb FireåÊ,San Bernardino National ForeståÊ,"January 9, 2018 11:00 amåÊ",San Bernardino CountyåÊ,"1,503 acres - 100% contained ***This is not a CAL FIRE incident. Click the link above for more information.åÊ","off Highway 18 & Holcomb Valley Rd, east of Big Bear LakeåÊ","June 19, 2017 3:05 pmåÊ"
Trellis FireåÊ,CAL FIRE / Riverside County FireåÊ,"January 9, 2018 10:59 amåÊ",Riverside CountyåÊ,26 acres - 100% containedåÊ,State Highway 74 near Trellis LaneåÊ,"June 18, 2017 4:03 pmåÊ"
Bogus FireåÊ,CAL FIRE Siskiyou UnitåÊ,"January 9, 2018 10:59 amåÊ",Siskiyou CountyåÊ,56 acres - 100% containedåÊ,Ager Beswick Rd. and Crest Ln. south of Copco LakeåÊ,"June 18, 2017 3:45 pmåÊ"
Smiley FireåÊ,CAL FIRE / Riverside County FireåÊ,"January 9, 2018 10:46 amåÊ",Riverside CountyåÊ,153 acres - 100% containedåÊ,"Reche Canyon Road near Haugen Drive, north of Moreno ValleyåÊ","June 18, 2017 3:10 pmåÊ"
Highway FireåÊ,Sequoia National ForeståÊ,"January 9, 2018 10:41 amåÊ",Kern CountyåÊ,"1,522 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information.åÊ","Democrat, west of Lake IsabellaåÊ","June 18, 2017 2:22 pmåÊ"
Road FireåÊ,Madera County FireåÊ,"January 9, 2018 10:35 amåÊ",Madera CountyåÊ,25 acres - 100% containedåÊ,"Road 400 and Road 33, 7 miles east of Madera åÊ","June 18, 2017 2:04 pmåÊ"
Lambs FireåÊ,CAL FIRE / Riverside County FireåÊ,"January 9, 2018 10:35 amåÊ",Riverside CountyåÊ,10 acres - 100% containedåÊ,"Manzanita Park and Roadrunner Dr., near BeaumontåÊ","June 18, 2017 12:28 pmåÊ"
Bolla FireåÊ,CAL FIRE Tehama-Glenn UnitåÊ,"January 9, 2018 10:35 amåÊ",Tehama CountyåÊ,60 acres - 100% containedåÊ,"Hwy 36 West, off Tedoc Roadd, west of PlatinaåÊ","June 18, 2017 7:15 amåÊ"
Lake FireåÊ,Unified Command LA County Fire and USFSåÊ,"January 9, 2018 10:34 amåÊ",Los Angeles CountyåÊ,800 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information.åÊ,North side of Castaic LakeåÊ,"June 17, 2017 1:55 pmåÊ"
Shore Fire ,CAL FIRE San Benito-Monterey UnitåÊ,"January 9, 2018 10:34 amåÊ",Monterey CountyåÊ,åÊ,"Jolon Rd and Frudden Rd, near LockwoodåÊ","June 16, 2017 3:49 pmåÊ"
Springs FireåÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 10:34 amåÊ",Riverside CountyåÊ,10.8 acres - 100% containedåÊ,"off Gilman Springs Road, south of Hwy 60 in Gilman SpringsåÊ","June 16, 2017 2:51 pmåÊ"
Skyway FireåÊ,CAL FIRE / Butte County FireåÊ,"January 9, 2018 10:34 amåÊ",Butte CountyåÊ,134 acres - 100% containedåÊ,"off Skyway and Hwy 99, east of ChicoåÊ","June 16, 2017 9:27 amåÊ"
Nuevo FireåÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 10:33 amåÊ",Riverside CountyåÊ,28 acres - 100% containedåÊ,Hansen Avenue and Nuevo Road in NuevoåÊ,"June 15, 2017 3:51 pmåÊ"
Canyon FireåÊ,CAL FIRE / Riverside County FireåÊ,"January 9, 2018 10:33 amåÊ",Riverside CountyåÊ,105 acres - 100% contained åÊ,BanningåÊ,"June 15, 2017 11:36 amåÊ"
Westfall FireåÊ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"January 9, 2018 10:33 amåÊ",Mariposa CountyåÊ,63 acres -100% contained.åÊ,west of  Westfall Road and north of Whiterock RoadåÊ,"June 15, 2017 7:30 amåÊ"
Lucy FireåÊ,CAL FIRE San Luis Obispo UnitåÊ,"January 9, 2018 10:33 amåÊ",San Luis Obispo CountyåÊ,150 acres - 100% containedåÊ,"off of Lucy Brown Rd, south of Hwy 41åÊ","June 14, 2017 11:44 amåÊ"
Reed FireåÊ,CAL FIRE / Riverside County FireåÊ,"January 9, 2018 10:32 amåÊ",Riverside CountyåÊ,20 acres - 100% containedåÊ,"off Reed Valley Road, north of Wilson Valley Road, Community of AguangaåÊ","June 13, 2017 5:21 pmåÊ"
King Fire ,CAL FIRE Tulare UnitåÊ,"January 9, 2018 10:32 amåÊ",Tulare CountyåÊ,åÊ,"Off of Hot Springs Road, west of the community of California Hot SpringsåÊ","June 13, 2017 5:00 pmåÊ"
Douglas FireåÊ,MCI Camp PendletonåÊ,"January 9, 2018 10:32 amåÊ",San Diego CountyåÊ,50 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information. åÊ,"Hwy. 76 & College Blvd., Oceanside, Camp PendletonåÊ","June 13, 2017 2:31 pmåÊ"
Platina FireåÊ,CAL FIRE Shasta_Trintiy UnitåÊ,"January 9, 2018 10:32 amåÊ",Shasta CountyåÊ,21 acres - 100% containedåÊ,"Platina Road, 12 Miles West of OnoåÊ","June 13, 2017 12:47 pmåÊ"
Valley FireåÊ,CAL FIRE / Riverside County FireåÊ,"January 9, 2018 10:32 amåÊ",Riverside CountyåÊ,33 acres - 100% containedåÊ,"San Ignacio Road and East Benton Road, TemeculaåÊ","June 13, 2017 12:00 pmåÊ"
Refuge Fire ,Sonoma-Lake Napa UnitåÊ,"January 9, 2018 10:31 amåÊ",Napa CountyåÊ,åÊ,"Knoxville Rd and Eastside Rd, north end of Lake Berryessa åÊ","June 13, 2017 10:18 amåÊ"
Tivy FireåÊ,CALFIRE/Fresno County FireåÊ,"January 9, 2018 10:31 amåÊ",Fresno CountyåÊ,76 acres - 100% containedåÊ,ear Tivy MountainåÊ,"June 11, 2017 10:45 pmåÊ"
Red FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"January 9, 2018 10:31 amåÊ",Tuolumne CountyåÊ,38 acres - 100% containedåÊ,"Red Hills Road & Six Bit Gulch Road, 2 miles southwest of Chinese CampåÊ","June 11, 2017 6:49 pmåÊ"
Pleyto FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"January 9, 2018 10:30 amåÊ",Monterey CountyåÊ,32 acres - 100% containedåÊ,"New Pleyto Road cross of Stern st, LockwoodåÊ","June 11, 2017 6:12 pmåÊ"
Monterey FireåÊ,CAL FIRE/Fresno County FireåÊ,"January 9, 2018 10:30 amåÊ",Fresno CountyåÊ,450 acres - 100% containedåÊ,"off South Monterey Ave. & W South Ave., near Tranquillity åÊ","June 11, 2017 5:15 pmåÊ"
Wild FireåÊ,CAL FIRE Fresno Unit / Fresno County FireåÊ,"January 9, 2018 10:30 amåÊ",Fresno CountyåÊ,186 acres - 100% containedåÊ,"Jensen Ave at Ohio Ave, MendotaåÊ","June 11, 2017 10:46 amåÊ"
Oakwood Fire ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"January 9, 2018 10:30 amåÊ",Madera CountyåÊ,åÊ,"Oakwood Road and Road 406, northeast of MaderaåÊ","June 10, 2017 1:19 pmåÊ"
Bodfish FireåÊ,Kern County Fire DepartmentåÊ,"January 9, 2018 10:29 amåÊ",Kern CountyåÊ,206 acres - 100% containedåÊ,5 miles south of Lake IsabellaåÊ,"June 10, 2017 12:17 pmåÊ"
Hog FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"January 9, 2018 10:29 amåÊ",Monterey CountyåÊ,14 acres - 100% containedåÊ,"Hog Canyon Rd & Ranchita Canyon Rd, southeast of ParkfieldåÊ","June 9, 2017 4:15 pmåÊ"
Island FireåÊ,Bureau of Land ManagementåÊ,"January 9, 2018 10:29 amåÊ",åÊ,*** This is not a CAL FIRE incident.åÊ,"off Cocopah Rd and Ocean Bridge, northeast of WinterhavenåÊ","June 9, 2017 1:00 pmåÊ"
Breckenridge FireåÊ,Kern County Fire DepartmentåÊ,"January 9, 2018 10:29 amåÊ",Kern CountyåÊ,35 acres - 100% containedåÊ,"Breckenridge Rd and Comanche Dr., 5 miles east of Bakersfield åÊ","June 9, 2017 4:53 amåÊ"
26 FireåÊ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"January 9, 2018 10:28 amåÊ",Madera CountyåÊ,157 acres - 100% containedåÊ,"off of Road 29, north of Ave 26, east of ChowchillaåÊ","June 7, 2017 9:00 pmåÊ"
Dinely Fire ,CAL FIRE Tulare UnitåÊ,"January 9, 2018 10:28 amåÊ",Tulare CountyåÊ,"June 10, 2017åÊ","off of Dinely Drive in Three Rivers, northeast of Lake KaweahåÊ","June 7, 2017 11:55 amåÊ"
Whitepine Fire ,CAL FIRE Siskiyou UnitåÊ,"January 9, 2018 10:27 amåÊ",Siskiyou CountyåÊ,åÊ,"Whitepine Road and Blue Heron Place, 10 miles east of Hornbrook åÊ","June 6, 2017 4:38 pmåÊ"
Wilbur FireåÊ,CAL FIRE/Butte County FireåÊ,"January 9, 2018 10:27 amåÊ",Butte CountyåÊ,91 acres - 100% containedåÊ,"Wilbur rd, north of Oroville Dam blvd    åÊ","June 6, 2017 12:43 pmåÊ"
Pine FireåÊ,Kern County FireåÊ,"January 9, 2018 10:27 amåÊ",Kern CountyåÊ,9 acres - 100% containedåÊ,"Pine Mountain Rd., 10 miles NE of BakersfieldåÊ","June 5, 2017 2:02 pmåÊ"
Fish FireåÊ,CAL FIRE Santa Clara UnitåÊ,"January 9, 2018 10:26 amåÊ",Contra Costa CountyåÊ,20 acres - 100% containedåÊ,"Hwy 24, Orinda  åÊ","June 5, 2017 1:17 pmåÊ"
Creek Fire åÊ,"Kern County Fire Department, CAL FIRE and Bureau of Land ManagementåÊ","January 9, 2018 10:24 amåÊ",Kern CountyåÊ,33 acres - 100% containedåÊ,"off Erskine Creek Rd and Pasadena Ln, southwest of Lake IsabellaåÊ","June 4, 2017 10:11 pmåÊ"
Shirleon Fire åÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 10:26 amåÊ",Riverside CountyåÊ,7 acres - 100% containedåÊ,"Old Banning Idyllwild Road & Mount Edna Road, BanningåÊ","June 4, 2017 4:48 pmåÊ"
Spring Fire åÊ,CAL FIRE Tehama-Glenn UnitåÊ,"January 9, 2018 10:25 amåÊ",Tehama CountyåÊ,78 acres - 100% containedåÊ,"off of Spring Branch Rd, 7 miles east of CottonwoodåÊ","June 4, 2017 4:22 pmåÊ"
River FireåÊ,CAL FIRE Lassen-Modoc UnitåÊ,"January 9, 2018 10:26 amåÊ",Lassen CountyåÊ,67 acres - 100% containedåÊ,"east of Hwy 395, DoyleåÊ","June 4, 2017 4:12 pmåÊ"
Dehesa FireåÊ,CAL FIRE San Diego UnitåÊ,"January 9, 2018 10:25 amåÊ",San Diego CountyåÊ,12 acres -100% containedåÊ,"off of Dehesa Rd and Sloane Canyon Rd, DehesaåÊ","June 4, 2017 11:04 amåÊ"
5 FireåÊ,Los Angeles County Fire DepartmentåÊ,"January 9, 2018 10:24 amåÊ",Los Angeles CountyåÊ,25 acres - 100% contained åÊ,"I-5, North of Lake Hughes Rd, Community of Cataic åÊ","June 3, 2017 3:39 pmåÊ"
Jones FireåÊ,CAL FIRE Lassen-Modoc UnitåÊ,"January 9, 2018 10:24 amåÊ",Modoc CountyåÊ,42 acres - 100% containedåÊ,"Off Hwy 395, south of AlturasåÊ","June 3, 2017 1:09 pmåÊ"
Vernon FireåÊ,CAL FIRE / Riverside County FireåÊ,"January 9, 2018 10:24 amåÊ",Riverside CountyåÊ,27 acres - 100% containedåÊ,Off Soboba Road in San JacintoåÊ,"June 3, 2017 12:09 pmåÊ"
Elk FireåÊ,Kern County Fire DepartmentåÊ,"January 9, 2018 10:23 amåÊ",Kern CountyåÊ,16 acres - 100% containedåÊ,4 miles south of Buttonwillow åÊ,"June 2, 2017 6:55 pmåÊ"
Fairview FireåÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 10:23 amåÊ",Riverside CountyåÊ,26 acres - 100% containedåÊ,"Fairview Road & Old Morongo Road, west of Desert Hot Springs åÊ","June 1, 2017 4:12 pmåÊ"
Clay FireåÊ,CAL FIRE Amador-El Dorado UnitåÊ,"January 9, 2018 10:22 amåÊ",Sacramento CountyåÊ,68 acres - 100% containedåÊ,"off Clay East Rd, east of HeraldåÊ","June 1, 2017 3:38 pmåÊ"
Fountain Fire åÊ,CAL FIRE Tulare UnitåÊ,"January 9, 2018 10:23 amåÊ",Tulare CountyåÊ,79 acres - 100% containedåÊ,"off Avenue 56 & Road 256, 2 miles east of DucoråÊ","May 31, 2017 11:30 amåÊ"
Twenty FireåÊ,CAL FIRE Nevada-Yuba-Placer UnitåÊ,"January 9, 2018 10:22 amåÊ",Yuba CountyåÊ,3.5 acres - 100% containedåÊ,"off Hwy 20 and Escheman Ln, East of BrownåÊ","May 29, 2017 3:31 pmåÊ"
Matz FireåÊ,CAL FIRE San Bernardino UnitåÊ,"January 9, 2018 10:22 amåÊ",San Bernardino CountyåÊ,16 acres - 100% containedåÊ,"Big Morongo Canyon Preserve, Morongo ValleyåÊ","May 29, 2017 1:20 amåÊ"
Panoche FireåÊ,CAL FIRE Fresno-Kings UnitåÊ,"January 9, 2018 10:21 amåÊ",Fresno CountyåÊ,18 acres - 100% containedåÊ,off Panoche Rd. 4 miles W of I-5 (Fresno County). åÊ,"May 28, 2017 4:16 pmåÊ"
Lombardi FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"January 9, 2018 10:21 amåÊ",Calaveras CountyåÊ,15 acres - 100% containedåÊ,"off Hwy 26 and Hwy 12, 4 miles SW of Mokelumne HillåÊ","May 28, 2017 3:30 pmåÊ"
Serenas FireåÊ,CAL FIRE Riverside UnitåÊ,"January 9, 2018 10:21 amåÊ",Riverside CountyåÊ,48 acres - 100% containedåÊ,off Avenue 64 and Las Serenas StreetåÊ,"May 28, 2017 3:27 pmåÊ"
Champagne FireåÊ,Kern County Fire DepartmentåÊ,"January 9, 2018 10:17 amåÊ",Kern CountyåÊ,10 acres - 100% containedåÊ,10 miles West of RosamondåÊ,"May 28, 2017 10:59 amåÊ"
Rusty FireåÊ,CAL FIRE Fresno-Kings UnitåÊ,"January 9, 2018 10:17 amåÊ",Fresno CountyåÊ,16 acres - 100% contained åÊ,"off Millerton Rd. and Rusty Spur Ln., 10 miles N. of ClovisåÊ","May 28, 2017 7:49 amåÊ"
Range FireåÊ,Camp Pendleton Marine BaseåÊ,"January 9, 2018 10:17 amåÊ",San Diego CountyåÊ,"1,000 acres - 100% contained***This is not a CAL FIRE incidentåÊ", Basilone Road X Las Pulgas RoadåÊ,"May 25, 2017 6:15 pmåÊ"
Lamb FireåÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 10:16 amåÊ",Riverside CountyåÊ,120 acres - 100% containedåÊ,"Lamb Canyon & Dump Road, north of Hemet åÊ","May 25, 2017 2:48 pmåÊ"
Ribbonwood FireåÊ,CAL FIRE San Diego UnitåÊ,"January 9, 2018 10:10 amåÊ",San Diego CountyåÊ,25 acres - 100% containedåÊ,"Off of Ribbonwood Road and Interstate 8, east of El CajonåÊ","May 24, 2017 3:30 pmåÊ"
Moreno FireåÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 10:08 amåÊ",Riverside CountyåÊ,10 acres - 100% containedåÊ,Ironwood Avenue and Moreno Beach DriveåÊ,"May 23, 2017 1:13 pmåÊ"
Bitterwater FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"January 9, 2018 10:07 amåÊ",San Benito CountyåÊ,21 acres - 100% containedåÊ,"Bitterwater Rd X Hwy 25, east of King CityåÊ","May 22, 2017 4:50 amåÊ"
Smiley FireåÊ,CAL FIRE/ Riverside County FireåÊ,"January 9, 2018 10:07 amåÊ",Riverside CountyåÊ,35 acres - 100% containedåÊ,Reche Canyon Road and Smiley BoulevardåÊ,"May 21, 2017 4:12 pmåÊ"
Gate Fire ,CAL FIRE San Diego UnitåÊ,"January 9, 2018 10:06 amåÊ",San Diego CountyåÊ, åÊ,"off of Hwy 94 and Otay Truck Trail, northwest of DulzuraåÊ","May 20, 2017 11:19 pmåÊ"
Wasioja FireåÊ,Santa Barbara CountyåÊ,"January 9, 2018 10:07 amåÊ",Santa Barbara CountyåÊ,190 acres - 100% containedåÊ,"Wasioja Road and Hwy 166, east of New Cuyama åÊ","May 20, 2017 5:54 pmåÊ"
Ming FireåÊ,Kern County FireåÊ,"January 9, 2018 10:07 amåÊ",Kern CountyåÊ,506 acres - 100% containedåÊ,"Round Mountain Road and Amaya Court, north of Lake MingåÊ","May 20, 2017 2:23 pmåÊ"
Rocky FireåÊ,CAL FIRE San Luis Obispo UnitåÊ,"January 9, 2018 10:06 amåÊ",San Luis Obispo CountyåÊ,17 acres - 100% containedåÊ,"off of Rocky Creek Road and Old Abode Canyon Road, east of AtascaderoåÊ","May 20, 2017 1:11 pmåÊ"
Manning FireåÊ,CAL FIRE Fresno-Kings UnitåÊ,"January 9, 2018 10:05 amåÊ",Fresno CountyåÊ,70 acres - 100% containedåÊ,"Interstate 5 and Manning Avenue, north of CoalingaåÊ","May 19, 2017 11:28 pmåÊ"
Deluz FireåÊ,Camp Pendleton Marine BaseåÊ,"January 9, 2018 10:06 amåÊ",San Diego CountyåÊ,486 acres - 100% contained ***This is not a CAL FIRE Incident.åÊ,"Camp Pendleton, north of India Training AreaåÊ","May 19, 2017 2:45 pmåÊ"
Range FireåÊ,Department of Defense - Camp RobertsåÊ,"January 9, 2018 10:05 amåÊ",San Luis Obispo CountyåÊ,***This is not a CAL FIRE incidentåÊ,"off of San Antonio Drive and Hwy 101, Camp RobertsåÊ","May 19, 2017 1:10 pmåÊ"
Moraga FireåÊ,CAL FIRE/Riverside County FireåÊ,"January 9, 2018 10:05 amåÊ",Riverside CountyåÊ,14 acres - 100% containedåÊ,"Avenue Juan Diaz and Riverside Drive, Jurupa ValleyåÊ","May 18, 2017 5:25 pmåÊ"
Elm Fire ,CAL FIRE/Fresno County FireåÊ,"January 9, 2018 10:04 amåÊ",Fresno CountyåÊ,5/21/17åÊ,"off of Hwy 198 & Fire Stone, south of CoalingaåÊ","May 18, 2017 1:11 pmåÊ"
City FireåÊ,CAL FIRE/Fresno County FireåÊ,"January 9, 2018 10:04 amåÊ",Kings CountyåÊ,20 acres - 100% containedåÊ,"off of Hwy 41 & I-5, south of Kettleman CityåÊ","May 18, 2017 12:54 pmåÊ"
Camp FireåÊ,CAL FIRE San Luis Obispo UnitåÊ,"January 9, 2018 10:03 amåÊ",San Luis Obispo CountyåÊ,225 acres - 100% containedåÊ,"off of Hwy 1 & Range Rd, northeast of San Luis Obispo åÊ","May 18, 2017 8:48 amåÊ"
41 FireåÊ,Madera County Fire DepartmentåÊ,"January 9, 2018 10:01 amåÊ",Madera CountyåÊ,150 acres - 100% containedåÊ,"off of Hwy 41 and Ave 11, north of FresnoåÊ","May 17, 2017 3:30 pmåÊ"
Lonoak Fire ,CAL FIRE San Benito Monterey UnitåÊ,"January 9, 2018 9:59 amåÊ",Monterey CountyåÊ,åÊ,"Lonoak Road and Airline Road, east of King CityåÊ","May 17, 2017 3:18 pmåÊ"
