name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Garage Fire ,CAL FIRE Sonoma-Lake-Napa Unit,6/10/15 9:45,Napa County,,,off Pope Valley Road & Howell Mountain Road in Pope Valley ,6/9/15 15:23,6/9/15,15:23:00
Garza Fire ,CAL FIRE Fresno-Kings Unit,1/9/18 11:51,Kings County,,,"Tar Canyon Road, near Avenal",7/9/17 15:10,7/9/17,15:10:00
Gaviota Fire ,"Santa Barbara County, CDF, USFS",6/12/04 6:00,Santa Barbara,,100%,15 miles west of Santa Barbara,6/5/04 11:57,6/5/04,11:57:00
Georges Fire ,Inyo National Forest Service ,1/4/19 9:54,Inyo County,,,"off Hogback and Whitney Portal Road, Alabama Hills",7/8/18 13:36,7/8/18,13:36:00
Geysers Fire ,CDF Sonoma-Lake-Napa Unit,9/10/04 7:00,Lake,,100%,6 miles northeast of Geyserville,9/3/04 5:24,9/3/04,5:24:00
Goose Fire ,CAL FIRE Fresno-Kings Unit,8/9/16 18:30,Fresno County,,8-Aug-16,"Off Gooseberry Ln & Morgan Canyon, south of Prather ",7/30/16 16:40,7/30/16,16:40:00
Gorman Fire,Los Angeles County Fire,4/19/16 15:30,Los Angeles County,,*** Not a CAL FIRE incident. Click the link for information from the Los Angeles County Fire Department,off northbound Interstate 5 at Gorman Creek,4/19/16 13:09,4/19/16,13:09:00
Grade Fire ,CAL FIRE Siskiyou Unit,8/30/16 6:45,Siskiyou County,,,"off Hwy 263, 2 miles north of Yreka ",8/24/16 14:55,8/24/16,14:55:00
Grade Fire ,CAL FIRE Mendocino Unit,1/9/18 11:56,Mendocino County,,,"Hwy 101, 5 miles northwest of Redwood Valley ",7/16/17 14:51,7/16/17,14:51:00
Grant Fire ,CAL FIRE Santa Clara Unit,1/4/19 9:53,Alameda County,,,"off I580 and Grantline Rd, Altamont Area",7/8/18 17:38,7/8/18,17:38:00
Grape Fire ,CAL FIRE Mendocino Unit,1/9/18 13:22,Mendocino County,,,"Off Hwy 101 & Crawford Ranch Rd, Hopland",9/19/17 13:02,9/19/17,13:02:00
Grape Fire,USFS - Shasta-Trinity National Forest,1/3/19 15:23,Humboldt County,,*** This is not a CAL FIRE incident. Click the link for more information.,"Black Bennet Rd. near Grape Creek, 8 miles southwest of Burnt Ranch",4/24/18 16:59,4/24/18,16:59:00
Green Fire ,CAL FIRE Fresno County Fire,7/16/16 18:00,Fresno County,,,"off Auberry Rd & White Thorne Rd, near Prather",7/15/16 16:45,7/15/16,16:45:00
Gulch Fire ,CAL FIRE Shasta-Trinity Unit,9/16/14 9:30,Shasta County ,,100% contained,"On Backbone Ridge, east of Bella Vista, 15 miles northeast of Redding",9/10/14 0:30,9/10/14,0:30:00
Gulch Fire ,CAL FIRE Lassen-Modoc Unit / Modoc National Forest,7/7/14 7:00,Modoc County,,,"Off highway 139, 15 miles north of Canby - The fire is burning on the east side of Hwy 139",7/3/14 15:46,7/3/14,15:46:00
Haigh Fire ,CAL FIRE Madera-Mariposa-Merced Unit,6/13/14 18:30,Mariposa County,,,"Highway 49 and Haigh Rd., north of Coulterville",6/10/14 15:11,6/10/14,15:11:00
Happy Camp Complex,US Forest Service - Klamath National Forest,8/14/14 9:30,Siskiyou County,,***This is not a CAL FIRE incident. Click the above link for more information.,in the Happy Camp area,8/11/14 22:00,8/11/14,22:00:00
Hat Fire ,CAL FIRE Shasta-Trinity Unit,1/4/19 9:21,Shasta County,,,"Hwy 299 east and Fish Hatchery rd, northeast of Burney ",8/9/18 14:34,8/9/18,14:34:00
Hathaway Fire,USFS San Bernardino National Forest,6/9/13 16:45,Riverside County,,**This is NOT a CAL FIRE incident. Click the link above for information from the USFS.  ,"Hathaway Canyon area, northeast of Banning",6/9/13 12:30,6/9/13,12:30:00
Hazardous Materials Incident,Riverside County/CAL FIRE Riverside Unit,3/4/08 8:55,Riverside County,,Train Derailment with fire and hazmat leak.  ,Hammond; North of Mecca ,3/3/08 20:33,3/3/08,20:33:00
High Fire ,Unified Command: CAL FIRE San Bernardino-Inyo-Mono Unit / San Bernardino County Fire,1/9/18 12:04,San Bernardino County,,,"off High Rd & Santa Rosa Rd, Lucerne Valley",7/23/17 15:53,7/23/17,15:53:00
Highland Fire ,CAL FIRE Shasta-Trinity Unit,1/4/19 9:38,Shasta County,,,"Highland Ridge Rd & Trinity Mt Rd, French Gulch",7/20/18 13:26,7/20/18,13:26:00
Highland Flooding Incident,CAL FIRE San Bernardino Unit,1/1/11 8:00,San Bernardino County,,"The City of Highland (East Highland) received major damage due to flooding and mudslides. The City of Highland, S.B.S.O and CAL FIRE are preparing a long term Contingency Plan to coordinate future flooding issues in the East Highland area.","East Highland, City of Highland ",12/22/10 5:30,12/22/10,5:30:00
Highway Fire ,CAL FIRE San Diego Unit,5/15/14 18:30,San Diego County,,,off Old Hwy 395 and I-15 in the Deer Springs area ,5/14/14 13:00,5/14/14,13:00:00
Highway Fire ,CAL FIRE/Riverside County Fire,4/24/15 7:30,Riverside County,,,at Hwy 71/Hwy 91 near the Prado Basin,4/18/15 18:12,4/18/15,18:12:00
Hill Fire ,CAL FIRE San Luis Obispo Unit,1/9/18 11:08,San Luis Obispo County,,,"Park Hill Road and La Entrada, east of Santa Margarita",6/26/17 15:27,6/26/17,15:27:00
Hill Fire ,"Unified Command: CAL FIRE, Ventura County Fire, Ventura Sheriff Dept, LA County Fire, LA City Fire, LA Sherriff Dept, LA Police Dept",1/4/19 8:43,Ventura County,,,"Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley",11/8/18 14:03,11/8/18,14:03:00
Hirz Fire ,USFS Shasta-Trinity National Forest,1/4/19 9:21,Shasta County,,,"off Gilman and Moore Creek Campground, east of Lakehead ",8/9/18 1:55,8/9/18,1:55:00
Hog Fire ,CAL FIRE Tehama-Glenn Unit,9/13/16 14:30,Tehama County,,,"Off Hwy 36 near Hog Lake, northeast of Red Bluff",9/13/16 23:10,9/13/16,23:10:00
Holiday Fire ,Santa Barbara County Fire,1/4/19 9:54,Santa Barbara County,,,"off north Fairview Ave and Holiday Hill Road, City of Goleta",7/6/18 20:40,7/6/18,20:40:00
Honey Fire ,CAL FIRE/Butte County Fire,1/9/18 13:34,Butte County,,,"Honey Run Rd & Merlin Ln, southwest of Paradise ",10/9/17 15:05,10/9/17,15:05:00
Honey Flooding ,CAL FIRE Butte Unit,1/4/19 8:42,Butte County,,,"Lower Skyway and Lower Honey Run, Between Chico and Paradise ",11/29/18 23:30,11/29/18,23:30:00
Honeydew and Canoe Fires ,CDF Humboldt-Del Norte Unit,10/6/03 18:00,Humboldt,,100%,"King Range, 14 miles north and 15 miles west of Garberville",9/3/03 14:00,9/3/03,14:00:00
Horse Fire ,CAL FIRE Humboldt-Del Norte Unit,8/29/15 7:00,Humboldt County,,,"Saddle Mountain Road, 6 miles NE Shelter Cove",8/18/15 18:30,8/18/15,18:30:00
Horse Fire ,CAL FIRE Tuolumne-Calaveras Unit,1/4/19 10:01,Calaveras County,,,"Horseshoe Rd & Stagecoach Dr, near Copperopolis",6/24/18 15:28,6/24/18,15:28:00
Huasna Fire ,CAL FIRE San Luis Obispo Unit,1/9/18 13:23,San Luis Obispo County,,9/24/17,"Huasna Townsite Rd & Huasna Rd, Huasna",9/20/17 13:41,9/20/17,13:41:00
Humboldt Lightning Fires ,CAL FIRE Humboldt - Del Norte Unit,8/19/15 19:15,Humboldt County,,8/19/15,"Alder Point-Blocksburg, Southeastern Humboldt County",7/30/15 16:02,7/30/15,16:02:00
Hunt Fire ,CDF Tuolumne-Calaveras Unit,8/13/04 7:00,Calaveras,,100%,Hunt Road at Salt Springs Valley Road in Copperopolis,8/10/04 17:11,8/10/04,17:11:00
Hunters Fire ,CAL FIRE Madera-Mariposa-Merced Unit,6/2/14 18:30,Mariposa County,,6/2/14,"Hunters Valley area, near the southeast shore of Lake McClure",5/26/14 15:33,5/26/14,15:33:00
Ione Fire ,CAL FIRE Amador El Dorado Unit,7/2/15 6:36,Amador County,,,"off Ione Rd & Hwy 16, east of Rancho Murietta",7/2/15 1:58,7/2/15,1:58:00
Irish Fire ,CAL FIRE Amador - El Dorado Unit,1/4/19 9:54,Amador County,,,"off Irish Ridge Road and Carbondale Road, southeast of Plymouth",7/6/18 14:42,7/6/18,14:42:00
Irving Fire ,Marin County Fire,1/4/19 9:05,Marin County,,,"Samuel P Taylor State Park, northwest of the Community of Lagunitas",9/10/18 19:00,9/10/18,19:00:00
Island Fire,Bureau of Land Management,1/9/18 10:29,,,*** This is not a CAL FIRE incident.,"off Cocopah Rd and Ocean Bridge, northeast of Winterhaven",6/9/17 13:00,6/9/17,13:00:00
Jacksonville Fire ,CAL FIRE Tuolumne-Calaveras Unit,1/9/18 12:09,Tuolumne County,,,"Jacksonville Road, south of Jamestown",7/29/17 13:50,7/29/17,13:50:00
Jacobson Fire,Sequoia National Forest,12/19/16 13:30,Tulare County,,"100% contained ***This is not a CAL FIRE incident, For more information click on the link above",Jacobson Drainage in the Golden Trout Wilderness,10/20/16 17:00,10/20/16,17:00:00
Jayne Fire ,CAL FIRE Fresno Kings Unit,1/9/18 9:51,Fresno County,,,Off of Hwy 33 and Lost Hills south of Coalinga,4/20/17 15:40,4/20/17,15:40:00
Jennings Fire ,"Unified Command: CAL FIRE San Diego Unit, Alpine Fire Protection District and  Lakeside Fire Protection District",1/9/18 11:52,San Diego County,,,"I-8 and Old Hwy 80, Community of Lakeside",7/11/17 13:45,7/11/17,13:45:00
Jerusalem Fire ,CAL FIRE Sonoma-Lake-Napa Unit,8/25/15 6:45,Lake & Napa counties,,24-Aug,"Jerusalem Valley area, northeast of Middletown",8/9/15 15:34,8/9/15,15:34:00
Junction Fire ,CAL FIRE Madera-Mariposa-Merced Unit,8/25/14 8:25,Madera County,,,"off Road 425A, near the Hwy 41 and Hwy 49 junction in Oakhurst",8/18/14 13:50,8/18/14,13:50:00
Keenbrook Fire ,San Bernardino National Forest,1/4/19 9:00,San Bernardino County,,,"Cajon Blvd and Kenwood Ave, Devore",9/26/18 10:56,9/26/18,10:56:00
Kelsey Fire ,CAL FIRE Sonoma-Lake-Napa Unit,1/4/19 9:11,Lake County,,,"Kelsey Creek Rd & Conklin Ln, Kelseyville",9/3/18 13:58,9/3/18,13:58:00
Ken Fire,San Bernardino National Forest,8/23/11 8:40,San Bernardino,,**This is NOT a CAL FIRE Incident.  Click HERE for more information from the US Forest Service.,East of Interstate 15 at Kenwood Avenue,8/22/11 13:03,8/22/11,13:03:00
Keswick Fire ,CAL FIRE Shasta-Trinity Unit,7/8/15 16:30,Shasta County,,,"Middle Creek Road, north of Hwy 299",7/7/15 12:34,7/7/15,12:34:00
King Fire ,CAL FIRE / USFS - El Dorado National Forest,10/9/14 17:20,El Dorado County,,,Near Pollock Pines,9/13/14 16:32,9/13/14,16:32:00
King Fire ,CAL FIRE Siskiyou Unit,1/9/18 11:08,Siskiyou County,,,off Campus Dr. and Moonlit Oaks Ave. in Yreka ,6/26/17 12:30,6/26/17,12:30:00
King Fire ,CAL FIRE Tulare Unit,1/9/18 10:32,Tulare County,,,"Off of Hot Springs Road, west of the community of California Hot Springs",6/13/17 17:00,6/13/17,17:00:00
King Fire  ,CAL FIRE San Benito-Monterey Unit,6/20/16 6:00,San Benito County,,,"orth of Hwy 198, east of Hwy 25",6/17/16 14:30,6/17/16,14:30:00
King Incident,Tulare County,1/9/18 11:01,Tulare County,,*** This is not a CAL FIRE incident - Click the link above for more information. ,"Hwy 201 & Rd 36, Community of Kings River",6/23/17 22:32,6/23/17,22:32:00
Klamath Fire,Klamath National Forest,1/9/18 11:43,Siskiyou County,,***This is not a CAL FIRE incident.,"Off Hwy 96 & Dutch Creek Rd, east of Oak Knoll",7/4/17 15:21,7/4/17,15:21:00
Klamathon Fire ,CAL FIRE Siskiyou Unit,1/4/19 9:55,Siskiyou County,,,"off Klamathon Road and Copco Road, south of Hornbrook",7/5/18 12:31,7/5/18,12:31:00
Lakeshore Fire ,CAL FIRE Sonoma-Lake-Napa Unit,9/15/13 17:14,Lake County,,,ear the community of Clearlake,9/15/13 19:45,9/15/13,19:45:00
Lane Fire ,CAL FIRE Tehama-Glenn Unit,1/4/19 10:02,Tehama County,,6/29/18,Off Hwy 36 in Paynes Creek,6/23/18 11:38,6/23/18,11:38:00
LaPorte Fire (Wind Complex) ,CAL FIRE/Butte County Fire,2/9/18 9:50,Butte County,,,"La Porte Rd and Oro Bangor Hwy, Bangor",10/9/17 0:57,10/9/17,0:57:00
Laverne Fire ,CAL FIRE Shasta-Trintiy Unit,1/9/18 12:01,Shasta County,,,"off of Laverne Ln & Saddle Trail, 6 miles southeast of Redding",7/18/17 12:39,7/18/17,12:39:00
Lilac Fire ,CAL FIRE San Diego Unit,1/9/18 13:47,San Diego County,,,"Old Hwy 395 at Dulin Road, Bonsall",12/7/17 11:15,12/7/17,11:15:00
Lion Fire,Sequoia National Forest,8/12/11 17:00,Tulare County,,**This is NOT a CAL FIRE Incident. Click the link above for information from the US Forest Service.,Sequoia National Forest - Golden Trout Wilderness,7/31/11 14:43,7/31/11,14:43:00
Lobo Fire (Wind Complex) ,CAL FIRE Nevada-Yuba-Placer Unit,2/9/18 9:51,Nevada County,,,"ear Lone Lobo Trail, Rough and Ready",10/9/17 0:01,10/9/17,0:01:00
Lodge Lightning Complex ,CAL FIRE Mendocino Unit,9/9/14 19:30,Mendocino County,,,Wilderness Lodge and Eel River Canyon area,7/30/14 6:27,7/30/14,6:27:00
Loma Fire ,CAL FIRE Santa Clara Unit,9/19/17 10:30,Santa Clara County,,,off Loma Prieta Rd and Loma Chiquita Rd 10 miles NW of Morgan Hill,9/26/16 14:42,9/26/16,14:42:00
Lonoak Fire ,CAL FIRE San Benito Monterey Unit,1/9/18 9:59,Monterey County,,,"Lonoak Road and Airline Road, east of King City",5/17/17 15:18,5/17/17,15:18:00
Lookout Fire,Los Padres National Forest ,10/17/12 16:45,Santa Barbara County,,**This was NOT A CAL FIRE incident. Click the link above for more information from the US Forest Service.,10 miles north of Santa Barbara,10/17/12 7:49,10/17/12,7:49:00
Lowell Fire ,CAL FIRE Nevada-Yuba-Placer Unit,8/12/15 19:15,Nevada County,,,In the Steep Hollow drainage west of Alta,7/25/15 14:37,7/25/15,14:37:00
Lumpkin Fire ,CAL FIRE Butte Unit,9/17/15 19:30,Butte County,,,"off Lumpkin Road and Forbestown Road, Robinson Mill",9/11/15 14:15,9/11/15,14:15:00
Lyon Fire ,CAL FIRE San Diego Unit / Cleveland National Forest,9/12/13 18:15,San Diego County,,,"Four Corners, Lyons Valley Road, east of Lyons Peak",9/9/13 13:09,9/9/13,13:09:00
Mad River Complex,USFS - Six Rivers National Forest,8/1/15 15:25,Trinity County,,***This is not a CAL FIRE incident.  Check the link above for more information from the US Forest Service.***,Near Ruth Lake area,7/30/15 16:00,7/30/15,16:00:00
Mallard Fire ,CAL FIRE Shasta-Trinity Unit,7/31/15 18:40,Shasta County,,,off Mallard Way in Millville ,7/29/15 16:30,7/29/15,16:30:00
Manton Fire ,CDF Tehama-Glenn Unit,8/29/05 7:00,Tehama,,100%,Community of Manton,8/26/05 15:00,8/26/05,15:00:00
Maria Fire ,CAL FIRE Tuolumne-Calaveras Unit,1/9/18 11:58,Calaveras County,,,"Jesus Maria Road and Music Gulch Road, Mokelumne Hill ",7/17/17 12:55,7/17/17,12:55:00
Mark Fire ,CAL FIRE Tuolumne Calaveras Unit,8/18/15 7:15,Calaveras County,,,Marks Ranch Rd south of Angels Camp,8/13/15 16:15,8/13/15,16:15:00
Marsh Fire ,CAL FIRE Santa Clara Unit,7/12/14 18:00,Contra Costa County,,,"off Marsh Creek Rd., near Aspara Drive, east of Clayton",7/11/14 21:57,7/11/14,21:57:00
Marsh Fire ,Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire,1/4/19 9:34,Contra Costa County,,,"Marsh Creek Rd and  Bragdon way, east of Mount Diablo ",7/25/18 14:41,7/25/18,14:41:00
Marshes Fire ,CAL FIRE Tuolumne-Calaveras Unit,10/4/16 22:00,Tuolumne County,,,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,9/26/16 12:20,9/26/16,12:20:00
Mataguay Fire ,CDF San Diego,7/16/04 6:00,San Diego,,100%,Northeast of Warner Springs,7/13/04 12:30,7/13/04,12:30:00
McCabe Fire ,CAL FIRE Sonoma-Lake-Napa Unit,11/27/13 18:15,Sonoma County,,,"The Geysers area, 10 miles northeast of Geyserville",11/22/13 2:04,11/22/13,2:04:00
McCabe Fire ,CAL FIRE Madera-Mariposa-Merced Unit,7/21/15 7:15,Merced County,,,"off McCabe Rd and I-5, north of San Luis Reservoir",7/18/15 22:27,7/18/15,22:27:00
McCourtney Fire (Wind Complex) ,CAL FIRE Nevada-Yuba-Placer Unit,2/9/18 9:52,Nevada County,,,"McCourtney Rd and Hwy 20, Grass Valley",10/9/17 0:00,10/9/17,0:00:00
Meridian Fire ,CAL FIRE Butte Unit / Butte County Fire,10/4/15 18:40,Butte County,,,"off Hwy 99 & Meridian Rd, north of Chico",10/3/15 21:15,10/3/15,21:15:00
Metz Fire ,CAL FIRE San Benito-Monterey Unit,5/25/16 18:15,Monterey County,,25-May-16,"Metz Rd & Blue Jay Ln, southeast of Soledad",5/22/16 15:27,5/22/16,15:27:00
Meyers Fire ,"CAL FIRE Amador, El Dorado Unit",1/4/19 9:03,El Dorado County,,,Meyers Rd in Camino,9/20/18 12:39,9/20/18,12:39:00
Mias Fire ,CAL FIRE Riverside Unit,1/9/18 12:42,Riverside County,,,Misa Canyon Road and Bluff Street,8/14/17 15:45,8/14/17,15:45:00
Miguelito Fire ,Santa Barbara County Fire,5/19/14 9:20,Santa Barbara County,,,Off Santa Miguelito Canyon Road in Lompoc,5/13/14 14:00,5/13/14,14:00:00
Mill 2 Fire ,CAL FIRE San Bernardino Unit/San Bernardino National Forest ,7/21/15 7:20,San Bernardino County,,,"Mill Creek Rd and Bryant St, east of Mentone",7/12/15 14:46,7/12/15,14:46:00
Mill Creek Fire,Bureau of Indian Affairs - Hoopa Tribe / US Forest Service Six Rivers National Forest,10/10/09 18:07,Humboldt County,,This is not a CAL FIRE Incident.  Click the Administrative Unit above for more information on this fire.,7 miles northeast of Hoopa,10/7/09 14:00,10/7/09,14:00:00
Mineral Fire ,CAL FIRE Fresno Kings Unit,8/18/16 19:00,Fresno County,,,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",8/9/16 13:08,8/9/16,13:08:00
Mission Fire ,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest,1/9/18 13:18,Madera County,,,"Mission Dr. and Italian Bar Rd., 2 miles east of North Fork",9/3/17 13:06,9/3/17,13:06:00
Moffat Fire ,"Unified Command: CAL FIRE San Bernardino Unit, Cal Trans, and Inyo County Sheriff's Office",1/3/19 13:09,Inyo County,,,"Highway 395 and Moffat Ranch Road, north of Lone Pine",4/19/18 10:28,4/19/18,10:28:00
Mokelumne Fire,Stanislaus National Forest,8/30/16 12:05,Alpine County,,**This is NOT a CAL FIRE incident. Click the link above for more information,Mokelumne Wilderness,8/18/16 12:05,8/18/16,12:05:00
Montecito Flooding / Mudflows ,Ventura County Fire and Santa Barbara County Fire ,1/3/19 9:43,"Santa Barbara County,Ventura County",,,"Montecito, Summerland and Carpenteria",1/9/18 4:00,1/9/18,4:00:00
Monticello Fire ,CAL FIRE Sonoma-Lake-Napa Unit,7/12/14 18:00,Yolo County,,,"Hwy 128 at Monticello Dam, southeast shore of Lake Berryessa ",7/4/14 21:32,7/4/14,21:32:00
Morgan Fire ,CAL FIRE Santa-Clara Unit,9/14/13 17:30,Contra Costa County,,,"off Morgan Territory Road, Southeast of Clayton",9/8/13 13:08,9/8/13,13:08:00
Morgan Fire ,CAL FIRE Fresno-Kings Unit,6/11/14 7:30,Fresno County,,,"ear the 16,000 block of Highway 168 near Prather",6/9/14 15:15,6/9/14,15:15:00
Mountain Fire ,CDF Riverside Unit/Riverside County Fire,10/30/03 6:00,Riverside,,100%,Sage Area,10/26/03 11:45,10/26/03,11:45:00
Nelson Fire ,CAL FIRE Mendocino Unit,9/22/14 16:30,Mendocino County,,,"off Nelson Ranch Rd, 9 mile south of Ukiah",9/21/14 16:13,9/21/14,16:13:00
Nelson Fire ,"Unified Command: CAL FIRE Sonoma-Lake-Napa Unit, Solano County Fire",1/4/19 9:20,Solano County,,,"Nelson Rd and Cherry Glen Rd, Vacaville",8/10/18 16:57,8/10/18,16:57:00
Nimshew Fire ,CAL FIRE Butte Unit,1/4/19 9:01,Butte County,,,"Nimshew Rd & Centerville Rd, Magalia",9/24/18 0:41,9/24/18,0:41:00
North Fire ,CAL FIRE San Bernardino Unit/ San Bernardino National Forest / San Bernardino County Fire ,7/21/15 7:00,San Bernardino County ,,,"off Interstate 15, south of Oaks Hills, in the Cajon Pass area",7/17/15 14:33,7/17/15,14:33:00
North Fire ,CAL FIRE Shasta-Trinity Unit,1/9/18 11:56,Shasta County,,,"Canyon Road and China Gulch, Happy Valley",7/15/17 18:10,7/15/17,18:10:00
North Fire ,Tahoe National Forest,1/4/19 9:10,Placer County,,,"North Fork Campground, south of Emigrant Gap",9/3/18 16:38,9/3/18,16:38:00
Northern California Lightning Activity,California Northern Region,6/14/13 16:30,Multiple Counties,,Over 60 small fires - 100% contained. Click the link above for more information.,Across Northern California,6/10/13 0:46,6/10/13,0:46:00
Northern Region Lightning ,Multiple CAL FIRE Units ,9/15/11 12:00,Multiple Counties,,"More then 3,200 lighting strikes have sparked a total of 108 fires throughout northern California - All 100% contained.",Across northern California,9/9/11 19:00,9/9/11,19:00:00
Northern Region Lightning ,Multiple CAL FIRE Units,7/24/12 11:30,Multiple Counties,,"2,800 lightning strikes for a total of 73 confirmed fires.",Areas of northern California (State and Federal Lands),7/22/12 22:30,7/22/12,22:30:00
Northern Region Lightning Incident ,CAL FIRE ,1/9/18 13:20,,,,various areas throughout Northern California,9/13/17 9:45,9/13/17,9:45:00
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex) ,CAL FIRE Sonoma-Lake-Napa Unit,2/9/18 9:30,"Napa County,Sonoma County",,,"Hwy 12, north of Glen Ellen",10/8/17 22:00,10/8/17,22:00:00
Oak Fire ,CAL FIRE Tuolumne Calaveras Unit,6/24/14 19:00,Calaveras County,,,"Oak Valley Road at Pool Station Road, south of San Andreas",6/22/14 12:37,6/22/14,12:37:00
Oak Fire ,CAL FIRE Tuolumne-Calaveras Unit,9/15/15 19:15,Tuolumne County,,,"off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora ",9/8/15 13:23,9/8/15,13:23:00
Oak Fire ,CAL FIRE Madera Mariposa Merced Unit,1/4/19 9:03,Madera County,,,"Lonesome Oak Ln and Bissett Station Rd, Ahwahnee",9/22/18 15:44,9/22/18,15:44:00
Oakwood Fire ,CAL FIRE Madera-Mariposa-Merced Unit,1/9/18 10:30,Madera County,,,"Oakwood Road and Road 406, northeast of Madera",6/10/17 13:19,6/10/17,13:19:00
Old Fire,Los Angeles County Fire Department,6/13/16 12:30,Los Angeles County,,**This is NOT a CAL FIRE incident. For more information visit the LA County Fire Website.,"off of Old Topanga Canyon Road and Mulholland Hwy, Calabasas",6/4/16 16:09,6/4/16,16:09:00
Old Hwy Fire ,CDF Madera-Mariposa-Merced Unit,9/15/04 7:00,Mariposa,,100%,Town of Mariposa,9/13/04 15:51,9/13/04,15:51:00
Olive Fire ,CAL FIRE Butte Unit,9/3/15 19:35,Butte County,,,"Off of Olive Tree Lane, south of Oroville ",9/2/15 13:18,9/2/15,13:18:00
Olive Fire ,CAL FIRE San Luis Obispo unit,1/9/18 12:05,San Luis Obispo County,,,Highway 41 Northeast of Highway 46,7/24/17 14:43,7/24/17,14:43:00
Omega Fire ,CAL FIRE Amador - El Dorado Unit,1/4/19 9:27,El Dorado County,,,"off Omega Lane and Alpha Circle, west of Pilot Hill",8/1/18 14:40,8/1/18,14:40:00
Oregon Fire ,CDF Butte Unit/Butte County Fire,8/13/04 6:00,Butte,,100%,Oregon Gulch Road at Potters Ranch Road - West side of Lake Oroville near the Community of Cherokee,8/11/04 13:55,8/11/04,13:55:00
Oregon Fire ,CAL FIRE Shasta-Trinity Unit,8/28/14 19:00,Trinity County,,,"off Hwy 299 at Oregon Mountain Summit, near Weaverville",8/24/14 16:36,8/24/14,16:36:00
Orleans Complex,Six Rivers National Forest,8/3/13 15:00,Humboldt County,,***This is not a CAL FIRE incident.  Click the link above for information from Six Rivers National Forest.,"10 miles east of Somes Bar, California",8/3/13 8:00,8/3/13,8:00:00
Oroville Spillway  ,Unified Command,1/9/18 9:24,Butte County,,,"Oroville Dam, Canyon Dr. & Oroville Dam Rd, Oroville, CA 95966",2/7/17 14:00,2/7/17,14:00:00
Pala Fire ,CAL FIRE San Diego Unit,6/7/16 6:45,San Diego County,,,"in the 38000 block of Pala Temecula Road, Temecula",5/31/16 13:48,5/31/16,13:48:00
Palmer Fire ,CAL FIRE Riverside Unit,1/9/18 12:50,Riverside County,,,"San Timoteo Canyon Road / Fisherman's Retreat, Beaumont",9/2/17 13:33,9/2/17,13:33:00
Paradise Fire ,CDF San Diego Unit,11/6/03 7:00,San Diego,,100%,Valley Center,10/26/03 1:30,10/26/03,1:30:00
Paradise Fire ,CDF San Bernardino Unit,6/24/05 7:00,San Bernardino,,100%,"Hwy 62, Morongo Valley",6/22/05 12:53,6/22/05,12:53:00
Park Fire ,CAL FIRE / Fresno County Fire,1/9/18 11:58,Fresno County,,,"Parkfield Rd and Hwy 198, 7 miles west of Coalinga",7/17/17 13:15,7/17/17,13:15:00
Park Hill Fire ,CAL FIRE San Luis Obispo Unit,6/24/15 18:30,San Luis Obispo County,,,"Park Hill Rd & Las Pilitas Rd, east of Santa Margarita",6/20/15 14:41,6/20/15,14:41:00
Parkhill Fire ,CDF San Luis Obispo Unit,7/23/03 7:00,San Luis Obispo,,100%,Hwy 58 and Huer Huero Road/5 miles est of Santa Margarita,7/20/03 14:55,7/20/03,14:55:00
Partrick Fire (Central LNU Complex) ,CAL FIRE Sonoma-Lake-Napa Unit,1/9/18 13:33,Napa County,,,"off Partrick Rd, west of Napa",10/8/17 23:48,10/8/17,23:48:00
Pasqual Fire ,Unified Command: CAL FIRE San Diego County Fire Authority and San Diego County Fire ,1/4/19 9:32,San Diego County,,,"San Pasqual Valley Rd, west of Ramona",7/27/18 13:28,7/27/18,13:28:00
Pattison Fire ,CDF Tuolumne-Calaveras Unit,9/5/04 19:00,Calaveras,,100%,"Pattison Road, 2 miles north of Burson.",9/3/04 13:39,9/3/04,13:39:00
Pawnee Fire ,CAL FIRE Sonoma-Lake-Napa Unit,1/4/19 10:01,Lake County,,,"Pawnee Rd & New Long Valley Rd, northeast of Clearlake Oaks ",6/23/18 17:21,6/23/18,17:21:00
Peak Fire ,CAL FIRE Madera-Mariposa-Merced Unit,1/9/18 12:51,Mariposa County,,,"Indian Peak Rd and Usona Rd, 9 miles southeast of Mariposa",9/3/17 13:10,9/3/17,13:10:00
Peterson Fire ,CAL FIRE Sonoma-Lake-Napa Unit,8/27/15 15:15,Lake County,,,"off Peterson Lane and Adobe Creek Road, near Kelseyville",8/22/15 17:30,8/22/15,17:30:00
Pier Fire ,CAL FIRE Tulare Unit / USFS - Sequoia National Forest,1/9/18 12:47,Tulare County,,,"Highway 190, east of Springville",8/29/17 8:29,8/29/17,8:29:00
Pine Fire,LA County Fire/Angeles National Forest,7/22/04 9:00,Los Angeles,,100%,Pine Canyon/Highway 138; North side of Liebre Mountain,7/12/04 12:50,7/12/04,12:50:00
